source,target,weight
84353,362778,1
84353,25495,1
84353,117275,1
84353,293056,1
84353,54226,1
84353,116666,1
84353,295461,1
84353,361842,1
84353,84494,1
84353,56227,1
84353,289257,1
84353,308596,1
84353,313255,1
84353,315840,1
84353,501699,1
84353,78968,1
84353,360820,1
84353,29584,1
84353,84403,1
84353,394266,1
84353,192270,1
84353,29417,1
84353,65189,1
84353,295062,1
84353,311622,1
84353,25196,1
84353,81649,1
84353,298878,1
84353,315039,1
84353,303586,1
84353,366542,1
84353,299979,1
84353,24335,1
84353,299116,1
84353,25242,1
84353,114851,1
84353,24245,1
84353,303251,1
84353,308212,1
84353,499088,1
84353,690366,1
84353,83805,1
84353,94202,1
84353,117552,1
84353,171357,1
84353,287423,1
84353,365371,1
84353,689864,1
84353,79128,1
84353,100314036,1
84353,24516,1
84353,24790,1
84353,24954,1
84353,25431,1
84353,25732,1
84353,29175,1
84353,300260,1
84353,498206,1
84353,170922,1
84353,25335,1
84353,289054,1
84353,310090,1
84353,313589,1
84353,367152,1
84353,500987,1
84353,315920,1
84353,56083,1
84353,201097,1
84353,684681,1
84353,684828,1
84353,114559,1
84353,83567,1
84353,113948,1
84353,299246,1
84353,300754,1
84353,315484,1
84353,361930,1
84353,363760,1
84353,294429,1
84353,315713,1
84353,25056,1
84353,25271,1
84353,25156,1
84353,295378,1
84353,296603,1
84353,315655,1
84353,65154,1
84353,287765,1
84353,290829,1
84353,309001,1
84353,363633,1
84353,81822,1
84353,502348,1
84353,300160,1
84353,308703,1
84353,29424,1
84353,309757,1
84353,293619,1
84353,84410,1
84353,308015,1
84353,246297,1
84353,117516,1
84353,83825,1
84353,259272,1
84353,64044,1
84353,29394,1
84353,65132,1
84353,311144,1
84353,311642,1
84353,363630,1
84353,361726,1
84353,64665,1
84353,83764,1
84353,84407,1
84353,25412,1
84353,25661,1
84353,50683,1
84353,192155,1
84353,301112,1
84353,361577,1
84353,24628,1
84353,84392,1
84353,287931,1
84353,289168,1
84353,24511,1
84353,296179,1
84353,296456,1
84353,311061,1
84353,24887,1
84353,56010,1
84353,64032,1
84353,305645,1
84353,114514,1
84353,84022,1
84353,79225,1
84353,296510,1
84353,500156,1
84353,64558,1
84353,363443,1
84353,689176,1
84353,116717,1
84353,296706,1
84353,80722,1
84353,361945,1
84353,24650,1
84353,116490,1
84353,361828,1
84353,25051,1
84353,311693,1
84353,100313998,1
84353,84424,1
84353,295251,1
84353,309447,1
84353,362533,1
84353,100313994,1
84353,56029,1
84353,83574,1
84353,117557,1
84353,293615,1
