geneID,symbol
100314260,Mir872
100314262,Mir181d
100314263,Mir375
100314264,Mir423
100314265,Mir532
100314266,Mir708
100314267,Mir873
100314268,Mir551b
100314269,Mir362
100314270,Mir592
100314271,Mir668
100314272,Mir935
100314273,Mir295-1
100314274,Mir764
100314276,Mir140
100314277,Mirlet7f-1os
100314278,Mir24-2
100314279,Mir101a
100314280,Mir135a
100314281,Mir195
100314282,Mir296
100314283,Mir377
100314284,Mir487b
100314286,Mir484
100314287,Mir105
100314288,Mir465
100314289,Mir351
100314290,Mir26a
100314291,Mir124-1
100314292,Mir181a2
100314293,Mir219-2
100322884,Nemf
100359438,Zfp683
100359512,Vti1b
100359515,Nos2-ps1
100359529,Immp2l
100359583,Ptmal5
100359592,Palm3
100359595,Tbc1d32
100359642,Chmp4b
100359675,Alpp
100359680,Lpcat2
100359692,H2bc9
100359714,Phf6
100359753,Dnaaf3
100359775,Bpifa6
100359816,Setd1b
100359823,Tmem167a
100359836,Kirrel2
100359879,Tmem91
100359907,Scpppq1
100359922,LOC100359922
100359924,Pate10
100359968,Pate14
100359982,Mpc2
100360017,Mrps6
100360049,Pate14l2
100360057,Rpl22-ps2
100360066,Evi5
100360071,Nps
100360077,Znhit1
100360100,Taf3
100360180,Pgd
100360197,Rad51ap2
100360205,Palld
100360218,Il13ra1-ps1
100360287,Zfp952
100360302,Sec16a
100360334,Fhod3
100360342,Msh6
100360390,Cldn25
100360412,Dnajc1
100360427,E2f4
100360437,Nsun3
100360457,Fmn2
100360501,Rnh1
100360533,Tlcd3a
100360552,Fzd7
100360582,Nt5c
100360594,Fanci
100360606,Zranb1
100360623,Iqgap2
100360640,Pxt1
100360658,Zc3h15-ps1
100360666,Lrtm1
100360679,Rps18l1
100360682,Snrpe
100360757,Ctcfl1
100360772,Zfp715
100360801,Ddx60
100360841,Rpl37-ps5
100360846,Psmb6l1
100360868,H3f3c
100360872,Mcpt1l1
100360880,Fosb
100360914,Fbxw7
100360936,Anapc16
100360982,Relb
100361007,Adig
100361016,Ventx
100361036,Oxct2a
100361087,C13h1orf226
100361092,Malrd1
100361133,Mycbp
100361134,Shisa9
100361138,Dgkq
100361188,Etfrf1
100361194,Or7h8
100361238,Rasgef1b
100361261,LOC100361261
100361269,Snrpa1
100361294,Tyk2
100361323,Astn2
100361376,Kank2
100361383,Ecm2
100361414,Pate3
100361417,Tbcd
100361444,Angptl8
100361457,Actg1l1
100361465,Pate2
100361503,Zfp717
100361517,Psmg3
100361529,Rad9a
100361543,Lamtor1l1
100361558,H3f3a
100361568,Hilpda
100361571,Krtap1-1
100361574,Polr2k
100361584,Ano2
100361633,Cd300ld
100361647,Galnt6
100361657,Pate1
100361658,Usp37
100361684,Simc1
100361706,Iglc1
100361765,Hoxb2
100361774,Ralgps1
100361814,Ear1l1
100361818,Nfatc1
100361828,Pate6l
100361830,Tram2
100361854,Rps26l5
100361884,Prl8a3
100361891,Rab5al1
100361909,Ear1
100361923,Ikzf4
100361939,Rnaseh2c
100361947,Zfp42
100362027,Rpl30l2
100362031,Krtap4-6
100362059,Ttc16
100362078,Pate5
100362120,Catsperz
100362121,Ddb2
100362124,Ift140
100362142,Ube2v1-ps2
100362155,Tmem276
100362202,Znf408
100362255,Adgrv1
100362279,Trappc3l
100362311,Arhgap33
100362324,Dhx29
100362333,Pole3-ps3
100362346,Mta3
100362347,Fnip1
100362441,Gpr82
100362458,Gigyf2
100362470,Mrtfb
100362495,Haus5
100362547,Ap1g2
100362548,Elp3
100362554,Otulin
100362555,Sptssb
100362565,Pkd1l3
100362572,Mpv17l
100362580,Spag11b
100362588,Izumo3
100362601,Scgb1d2-ps1
100362634,Kmt2d
100362640,Rps4x
100362644,Slc2a7
100362678,Epc1
100362710,Tiam2
100362725,Cdkl5
100362729,Igfl3
100362805,Txndc5
100362836,Poc1b
100362895,Hsp90aa1-ps17
100362940,Snx21
100363012,Rps21-ps1
100363053,Tas2r145
100363125,H2al3
100363145,Stab1
100363176,Polr2k-ps2
100363178,Tmigd3
100363253,Nt5c2
100363275,Adgra2
100363276,Arhgap6
100363332,Card11
100363439,Rps10l1
100363492,Ly6k
100363502,Cycs-ps9
100363539,Mrpl33
100364002,Rhox9l1
100364162,Rnf11
100364165,Nktr
100364350,Nwd1
100364435,Tmsb10-ps6
100364568,Rprd2
100364835,H2bc6
100364984,Rab37
100364990,Pdss1
100365184,Prdm14
100365370,Ctdsp2
100365504,Sf3b6
100365679,Dennd5b
100365683,Nr2e3
100365773,Oca2
100365872,Eif4ebp3
100365921,Pigy
100366017,Ube2e1
100366024,Prdm16
100366030,Zfp658l1
100366237,Pfdn4
100498801,Mir295-2
100499406,Cct2-ps1
100499407,Cct3-ps1
100499410,Cct3-ps4
100499415,Cct6a-ps5
100499419,Cct6a-ps15
100499431,Cct7-ps3
100499432,Cct8-ps1
100499433,Cct8-ps2
100499447,Hspd1-ps9
100499448,Hspd1-ps15
100499449,Hspd1-ps17
100499450,Hspd1-ps18
100499451,Hspd1-ps22
100499452,Hspd1-ps28
100499453,Hspd1-ps31
100499454,Hspd1-ps32
100526564,Mir203-2
100526574,Mirlet7f-1
100526581,Mir3597-1
100526582,Mir126a
100526583,Mir216b
100526597,Mir3582
100526602,Mir3587
100526603,Mir702
100526606,Mir3590
100526611,Mir3120
100526615,Mir3551
100526621,Mir3557
100526624,Mir1b
100526625,Mir344b-1
100526629,Mir449c
100526630,Mir193a
100526632,Mir291b
100526635,Mir208b
100526641,Mir151b
100529260,Ankhd1
100534597,Cenps
100568448,Snhg4
100861533,Rn18s
100861534,Rn5-8s
100861535,Rn28s
100909408,Zfp397
100909445,Ube2w
100909598,Pigbos1
100909648,Avpr1b
100909834,Kdm4e
100909949,Kmt5al1
100910047,Gfy
100910087,Adam21
100910102,Catsperb
100910104,Xirp1
100910107,Usp17la2
100910144,Ces2
100910202,Crnkl1
100910299,Larp4
100910342,Bbip1
100910343,LOC100910343
100910536,Elfn2
100910558,LOC100910558
100910616,Hmgn5
100910620,LOC100910620
100910731,Krtap4-3
100910751,Mtg1
100910797,Pvt1
100910802,LOC100910802
100910806,Trim15
100910813,Lyg2
100910823,Derl2
100910827,Oip5-as1
100910940,Evi2b
100910984,Alkal1
100911041,Tmem45a
100911068,Robo4
100911069,Mtfr2
100911235,Med7
100911237,Zfp502
100911249,Ifnl1
100911353,Poteml2
100911360,LOC100911360
100911370,LOC100911370
100911395,Agbl4
100911462,Txnl4a
100911483,Ndufa13
100911498,Xist
100911581,Faah
100911617,LOC100911617
100911668,Hoxa10
100911740,Mrln
100911757,Tshz2
100911796,Adora3
100911798,Seh1l
100911859,Hoxc11
100912012,Clec3b
100912032,Rps27a
100912083,Dancr
100912096,Zfp113
100912108,Nupr1
100912115,Mia2
100912195,LOC100912195
100912214,LOC100912214
100912216,Prcd
100912218,Itprip
100912289,Fam9c
100912292,Enho
100912302,Sox1
100912338,H2bc18
100912357,Ndufb1
100912416,Tcaf2c
100912427,Ybx1l1
100912489,H4c3
100912521,Nmrk2
100912525,Hoxa4
100912536,Styx
100912557,Atp5mj
100912563,Insm1
100912936,Hoxd8
100912942,Tcrg
100913063,Cd79a
100913081,Pate-f
101241893,Trim34
102465142,Scarna3
102465143,Mir509
102465144,Mir1306
102465145,Mir6215
102465146,Mir378b
102465147,Mir6216
102465151,Mir6314
102465152,Mir6315
102465153,Mir3102
102465154,Mir344g
102465155,Mir6317-1
102465156,Mir6318
102465157,Mir3075
102465158,Mir6321
102465159,Mir1298
102465160,Mir6322
102465161,Mir6325
102465162,Mir6327
102465163,Mir6328
102465164,Mir6330
102465165,Mir6331
102465166,Mir3072
102465167,Mir6333
102465168,Mir6334
102465751,Mir7578
102465831,Mir155
102465960,Mir6323
102466146,Snora58
102466148,Mir344i
102466149,Mir6326
102466150,Mir679
102466617,Scarna15
102466618,Mir3473
102466621,Mir3099
102466622,Mir6316
102466623,Mir6320
102466624,Mir6324
102466625,Mir6329
102466626,Mir6332
102466968,Mir6319-1
102546709,LOC102546709
102546758,Klk5
102547056,Ulbp1
102547118,Ezhip
102547219,Mosmo
102547353,Pantr1
102547755,Dbf4b
102547862,Lnc081
102548041,LOC102548041
102548178,Hotairm1
102548228,Bivm
102548278,LOC102548278
102548286,LOC102548286
102548559,Vcpkmt
102548682,H4cl1
102548778,Parp10
102549061,H2bc3
102549173,H3cl
102549228,Hdac2-ps1
102549247,LOC102549247
102549328,LOC102549328
102549556,LOC102549556
102549653,Rxfp4
102549710,Samd11
102550344,Kmt2b
102550385,Lyrm4
102550416,Sprr2f
102550523,Fsbp
102550699,Sprr2d
102550903,Ufsp1
102551071,LOC102551071
102551085,Xrcc3
102551149,LOC102551149
102551184,H4cl2
102551208,Dynlt4
102551227,LOC102551227
102551408,Hacd2
102551716,Nkain2
102551724,LOC102551724
102551846,Zfp174
102551865,Sgk1-ps1
102551890,Dcaf16
102551899,LOC102551899
102551929,Mageb10
102552497,Pcdhgb6
102552551,Erln
102552664,Miat
102552705,Pcdhgb4
102552796,Pcdhga6
102552838,Mc1r
102552895,Podn
102552939,Dynapl1
102553002,Zscan22
102553035,Klk15
102553119,Mettl21a
102553148,Cfap58
102553382,Ddx11l1
102553842,Hoxd11
102553861,LOC102553861
102553877,LOC102553877
