this_gene,other_gene,weight
83064642,83064694,2
83064642,83064895,2
83064642,83066839,2
83064694,83064895,2
83064694,83066839,2
83064895,83066839,2
83065181,83066107,2
83065181,91135919,2
83066107,91135919,2
83063531,83063789,2
83062144,83062403,2
83062144,83064640,2
83062403,83064640,2
83062410,83063052,2
83062410,83065697,2
83062410,83066134,2
83062410,83066557,2
83063052,83065697,2
83063052,83066134,2
83063052,83066557,2
83065697,83066134,2
83066134,83066557,2
83065534,83065538,2
83062439,83064282,2
83062439,83066193,2
83064282,83066193,2
83062068,83064120,2
83064854,83064898,2
83064854,83065224,2
83064898,83065224,2
83062118,83066523,2
83064339,83064944,2
83062461,83065007,2
83062371,83065049,2
83061964,83063579,2
83066257,83066698,2
83063520,83065819,2
83065309,83065310,2
83063244,83065803,2
83064384,83066369,2
83062669,83065081,2
83062152,83062568,2
83062152,83063829,2
83062152,83064953,2
83062152,83065237,2
83062152,83065616,2
83062152,83066249,2
83062568,83063829,2
83062568,83064953,2
83062568,83065237,2
83062568,83065616,2
83062568,83066249,2
83063829,83064953,2
83063829,83065237,2
83063829,83065616,2
83063829,83066249,2
83064953,83065237,2
83064953,83065616,2
83064953,83066249,2
83065237,83065616,2
83065237,83066249,2
83065616,83066249,2
83064144,83065581,2
83064144,83065583,2
83064144,83065940,2
83064144,83066628,2
83065581,83065583,2
83065581,83065940,2
83065581,83066628,2
83065583,83065940,2
83065583,83066628,2
83065940,83066628,2
83061999,83062601,2
83061999,83062736,2
83061999,83063017,2
83061999,83064187,2
83061999,83064285,2
83061999,83064337,2
83061999,83064341,2
83061999,83064362,2
83061999,83064480,2
83061999,83064527,2
83061999,83064821,2
83061999,83064836,2
83061999,83065593,2
83061999,83065679,2
83061999,83065947,2
83061999,83065985,2
83061999,83066000,2
83061999,83066152,2
83061999,83066486,2
83061999,83066647,2
83061999,83066833,2
83062601,83062736,2
83062601,83063017,2
83062601,83064187,2
83062601,83064285,2
83062601,83064337,2
83062601,83064341,2
83062601,83064362,2
83062601,83064480,2
83062601,83064527,2
83062601,83064821,2
83062601,83064836,2
83062601,83065593,2
83062601,83065679,2
83062601,83065947,2
83062601,83065985,2
83062601,83066000,2
83062601,83066152,2
83062601,83066486,2
83062601,83066647,2
83062601,83066833,2
83062736,83063017,2
83062736,83064187,2
83062736,83064285,2
83062736,83064337,2
83062736,83064341,2
83062736,83064362,2
83062736,83064480,2
83062736,83064527,2
83062736,83064821,2
83062736,83064836,2
83062736,83065593,2
83062736,83065679,2
83062736,83065947,2
83062736,83065985,2
83062736,83066000,2
83062736,83066152,2
83062736,83066486,2
83062736,83066647,2
83062736,83066833,2
83063017,83064187,2
83063017,83064285,2
83063017,83064337,2
83063017,83064341,2
83063017,83064362,2
83063017,83064480,2
83063017,83064527,2
83063017,83064821,2
83063017,83064836,2
83063017,83065593,2
83063017,83065679,2
83063017,83065947,2
83063017,83065985,2
83063017,83066000,2
83063017,83066152,2
83063017,83066486,2
83063017,83066647,2
83063017,83066833,2
83064187,83064285,2
83064187,83064337,2
83064187,83064341,2
83064187,83064362,2
83064187,83064480,2
83064187,83064527,2
83064187,83064821,2
83064187,83064836,2
83064187,83065593,2
83064187,83065679,2
83064187,83065947,2
83064187,83065985,2
83064187,83066000,2
83064187,83066152,2
83064187,83066486,2
83064187,83066647,2
83064187,83066833,2
83064285,83064337,2
83064285,83064341,2
83064285,83064362,2
83064285,83064480,2
83064285,83064527,2
83064285,83064821,2
83064285,83064836,2
83064285,83065593,2
83064285,83065679,2
83064285,83065947,2
83064285,83065985,2
83064285,83066000,2
83064285,83066152,2
83064285,83066486,2
83064285,83066647,2
83064285,83066833,2
83064337,83064341,2
83064337,83064362,2
83064337,83064480,2
83064337,83064527,2
83064337,83064821,2
83064337,83064836,2
83064337,83065593,2
83064337,83065679,2
83064337,83065947,2
83064337,83065985,2
83064337,83066000,2
83064337,83066152,2
83064337,83066486,2
83064337,83066647,2
83064337,83066833,2
83064341,83064362,2
83064341,83064480,2
83064341,83064527,2
83064341,83064821,2
83064341,83064836,2
83064341,83065593,2
83064341,83065679,2
83064341,83065947,2
83064341,83065985,2
83064341,83066000,2
83064341,83066152,2
83064341,83066486,2
83064341,83066647,2
83064341,83066833,2
83064362,83064480,2
83064362,83064527,2
83064362,83064821,2
83064362,83064836,2
83064362,83065593,2
83064362,83065679,2
83064362,83065947,2
83064362,83065985,2
83064362,83066000,2
83064362,83066152,2
83064362,83066486,2
83064362,83066647,2
83064362,83066833,2
83064480,83064527,2
83064480,83064821,2
83064480,83064836,2
83064480,83065593,2
83064480,83065679,2
83064480,83065947,2
83064480,83065985,2
83064480,83066000,2
83064480,83066152,2
83064480,83066486,2
83064480,83066647,2
83064480,83066833,2
83064527,83064821,2
83064527,83064836,2
83064527,83065593,2
83064527,83065679,2
83064527,83065947,2
83064527,83065985,2
83064527,83066000,2
83064527,83066152,2
83064527,83066486,2
83064527,83066647,2
83064527,83066833,2
83064821,83064836,2
83064821,83065593,2
83064821,83065679,2
83064821,83065947,2
83064821,83065985,2
83064821,83066000,2
83064821,83066152,2
83064821,83066486,2
83064821,83066647,2
83064821,83066833,2
83064836,83065593,2
83064836,83065679,2
83064836,83065947,2
83064836,83065985,2
83064836,83066000,2
83064836,83066152,2
83064836,83066486,2
83064836,83066647,2
83064836,83066833,2
83065593,83065679,2
83065593,83065947,2
83065593,83065985,2
83065593,83066000,2
83065593,83066152,2
83065593,83066486,2
